"0","library(ggplot2)"
"0","dat = read_csv(""./data/ipss_birth.csv"")"
"2","Parsed with column specification:
cols(
  Year = [32mcol_double()[39m,
  Sex = [31mcol_character()[39m,
  Life = [32mcol_double()[39m,
  ratio = [32mcol_double()[39m,
  cum_sum = [32mcol_double()[39m
)
"
"0","dat %>% "
"0","        mutate(x_axis = paste(Year, Sex, sep="""")) %>% "
"0","        mutate(row_num = 1:nrow(.)) %>% "
"0","        ggplot() + "
"0","        geom_line(aes(x = row_num, y = cum_sum), stat = ""identity"") +"
"0","        annotate(""segment"",x=1,xend=90,y=0.7,yend=0.7,colour=""blue"","
"0","             size=1, arrow=arrow()) + "
"0","        annotate(""segment"",x=92,xend=92,y=0.65,yend=0.0,colour=""blue"","
"0","                    size=1,arrow=arrow()) + "
"0","        annotate(""text"", x=20, y=0.75, parse=TRUE, label=""'Random Number 0.7'"") +"
"0","        annotate(""text"", x=120, y=0.2, parse=TRUE, label=""'Rownum: 95 -> 1969-Female'"") +"
"0","        ggtitle(""Cumulative ratio of Population Birth"")"
